"url","Name","URL","URL_link"
"https://www.city-data.com/city/Arkansas.html","Adona","Adona",""
"https://www.city-data.com/city/Arkansas.html","Alexander, AR","Alexander, AR",""
"https://www.city-data.com/city/Arkansas.html","Alma, AR","Alma, AR",""
"https://www.city-data.com/city/Arkansas.html","Almyra","Almyra",""
"https://www.city-data.com/city/Arkansas.html","Alpena, AR","Alpena, AR",""
"https://www.city-data.com/city/Arkansas.html","Altheimer","Altheimer",""
"https://www.city-data.com/city/Arkansas.html","Altus, AR","Altus, AR",""
"https://www.city-data.com/city/Arkansas.html","Amity, AR","Amity, AR",""
"https://www.city-data.com/city/Arkansas.html","Arkadelphia","Arkadelphia","https://www.city-data.com/city/Arkadelphia-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Arkansas City, AR","Arkansas City, AR",""
"https://www.city-data.com/city/Arkansas.html","Ash Flat","Ash Flat",""
"https://www.city-data.com/city/Arkansas.html","Ashdown","Ashdown",""
"https://www.city-data.com/city/Arkansas.html","Atkins, AR","Atkins, AR",""
"https://www.city-data.com/city/Arkansas.html","Augusta, AR","Augusta, AR",""
"https://www.city-data.com/city/Arkansas.html","Austin, AR","Austin, AR",""
"https://www.city-data.com/city/Arkansas.html","Avilla, AR","Avilla, AR",""
"https://www.city-data.com/city/Arkansas.html","Avoca, AR","Avoca, AR",""
"https://www.city-data.com/city/Arkansas.html","Bald Knob, AR","Bald Knob, AR",""
"https://www.city-data.com/city/Arkansas.html","Barling","Barling",""
"https://www.city-data.com/city/Arkansas.html","Batesville, AR","Batesville, AR","https://www.city-data.com/city/Batesville-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Bauxite","Bauxite",""
"https://www.city-data.com/city/Arkansas.html","Bay","Bay",""
"https://www.city-data.com/city/Arkansas.html","Bearden, AR","Bearden, AR",""
"https://www.city-data.com/city/Arkansas.html","Beebe","Beebe","https://www.city-data.com/city/Beebe-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Bella Vista, AR","Bella Vista, AR","https://www.city-data.com/city/Bella-Vista-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Bellefonte, AR","Bellefonte, AR",""
"https://www.city-data.com/city/Arkansas.html","Belleville, AR","Belleville, AR",""
"https://www.city-data.com/city/Arkansas.html","Bentonville, AR","Bentonville, AR","https://www.city-data.com/city/Bentonville-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Benton, AR","Benton, AR","https://www.city-data.com/city/Benton-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Bergman","Bergman",""
"https://www.city-data.com/city/Arkansas.html","Berryville, AR","Berryville, AR",""
"https://www.city-data.com/city/Arkansas.html","Bethel Heights","Bethel Heights",""
"https://www.city-data.com/city/Arkansas.html","Bigelow, AR","Bigelow, AR",""
"https://www.city-data.com/city/Arkansas.html","Biggers","Biggers",""
"https://www.city-data.com/city/Arkansas.html","Black Oak","Black Oak",""
"https://www.city-data.com/city/Arkansas.html","Black Rock, AR","Black Rock, AR",""
"https://www.city-data.com/city/Arkansas.html","Blevins","Blevins",""
"https://www.city-data.com/city/Arkansas.html","Blytheville","Blytheville","https://www.city-data.com/city/Blytheville-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Bonanza, AR","Bonanza, AR",""
"https://www.city-data.com/city/Arkansas.html","Bono","Bono",""
"https://www.city-data.com/city/Arkansas.html","Booneville, AR","Booneville, AR",""
"https://www.city-data.com/city/Arkansas.html","Bradford, AR","Bradford, AR",""
"https://www.city-data.com/city/Arkansas.html","Bradley, AR","Bradley, AR",""
"https://www.city-data.com/city/Arkansas.html","Branch, AR","Branch, AR",""
"https://www.city-data.com/city/Arkansas.html","Briarcliff, AR","Briarcliff, AR",""
"https://www.city-data.com/city/Arkansas.html","Brinkley","Brinkley",""
"https://www.city-data.com/city/Arkansas.html","Brookland","Brookland",""
"https://www.city-data.com/city/Arkansas.html","Bryant, AR","Bryant, AR","https://www.city-data.com/city/Bryant-Arkansas.html"
"https://www.city-data.com/city/Arkansas.html","Buckner, AR","Buckner, AR",""
"https://www.city-data.com/city/Arkansas.html","Bull Shoals","Bull Shoals",""
