"url","Name","URLs","URLs_link"
"https://www.city-data.com/city/Oregon.html","Adair Village","",""
"https://www.city-data.com/city/Oregon.html","Adams, OR","",""
"https://www.city-data.com/city/Oregon.html","Agate Beach","Agate Beach","https://www.city-data.com/city/Agate-Beach-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Albany, OR","Albany, OR","https://www.city-data.com/city/Albany-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Aloha","Aloha","https://www.city-data.com/city/Aloha-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Altamont, OR","Altamont, OR","https://www.city-data.com/city/Altamont-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Annex","",""
"https://www.city-data.com/city/Oregon.html","Arlington, OR","",""
"https://www.city-data.com/city/Oregon.html","Ashland, OR","Ashland, OR","https://www.city-data.com/city/Ashland-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Ashwood, OR","",""
"https://www.city-data.com/city/Oregon.html","Astoria, OR","Astoria, OR","https://www.city-data.com/city/Astoria-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Athena","",""
"https://www.city-data.com/city/Oregon.html","Aurora, OR","",""
"https://www.city-data.com/city/Oregon.html","Badger Mountain","Badger Mountain","https://www.city-data.com/city/Badger-Mountain-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Baker City","Baker City","https://www.city-data.com/city/Baker-City-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Bay City, OR","",""
"https://www.city-data.com/city/Oregon.html","Bayside Gardens","",""
"https://www.city-data.com/city/Oregon.html","Beaver Creek, OR","Beaver Creek, OR","https://www.city-data.com/city/Beaver-Creek-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Beaverton, OR","Beaverton, OR","https://www.city-data.com/city/Beaverton-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Bend, OR","Bend, OR","https://www.city-data.com/city/Bend-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Bethany, OR","Bethany, OR","https://www.city-data.com/city/Bethany-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Black Butte Ranch","",""
"https://www.city-data.com/city/Oregon.html","Boardman, OR","",""
"https://www.city-data.com/city/Oregon.html","Bonanza, OR","",""
"https://www.city-data.com/city/Oregon.html","Brookings, OR","Brookings, OR","https://www.city-data.com/city/Brookings-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Brooks, OR","",""
"https://www.city-data.com/city/Oregon.html","Bull Mountain","Bull Mountain","https://www.city-data.com/city/Bull-Mountain-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Burns, OR","",""
"https://www.city-data.com/city/Oregon.html","Butte Falls","",""
"https://www.city-data.com/city/Oregon.html","Butteville","",""
"https://www.city-data.com/city/Oregon.html","Calapooia","Calapooia","https://www.city-data.com/city/Calapooia-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Camp Sherman","",""
"https://www.city-data.com/city/Oregon.html","Canby, OR","Canby, OR","https://www.city-data.com/city/Canby-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Canyon City","",""
"https://www.city-data.com/city/Oregon.html","Cedar Hills, OR","Cedar Hills, OR","https://www.city-data.com/city/Cedar-Hills-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Cedar Mill","Cedar Mill","https://www.city-data.com/city/Cedar-Mill-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Central Point","Central Point","https://www.city-data.com/city/Central-Point-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Chehalem Mountain","Chehalem Mountain","https://www.city-data.com/city/Chehalem-Mountain-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Chiloquin","",""
"https://www.city-data.com/city/Oregon.html","City of The Dalles","City of The Dalles","https://www.city-data.com/city/City-of-The-Dalles-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Cloverdale, OR","",""
"https://www.city-data.com/city/Oregon.html","Coast Range","Coast Range","https://www.city-data.com/city/Coast-Range-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Coburg, OR","",""
"https://www.city-data.com/city/Oregon.html","Condon, OR","",""
"https://www.city-data.com/city/Oregon.html","Coos Bay","Coos Bay","https://www.city-data.com/city/Coos-Bay-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Cornelius, OR","Cornelius, OR","https://www.city-data.com/city/Cornelius-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Corvallis, OR","Corvallis, OR","https://www.city-data.com/city/Corvallis-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Cottage Grove, OR","Cottage Grove, OR","https://www.city-data.com/city/Cottage-Grove-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Cove, OR","",""
"https://www.city-data.com/city/Oregon.html","Crabtree, OR","",""
"https://www.city-data.com/city/Oregon.html","Crawfordsville, OR","",""
"https://www.city-data.com/city/Oregon.html","Culver, OR","",""
"https://www.city-data.com/city/Oregon.html","Dallas, OR","Dallas, OR","https://www.city-data.com/city/Dallas-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Damascus, OR","Damascus, OR","https://www.city-data.com/city/Damascus-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Days Creek","",""
"https://www.city-data.com/city/Oregon.html","De Lake","De Lake","https://www.city-data.com/city/De-Lake-Oregon.html"
"https://www.city-data.com/city/Oregon.html","Deer Island","",""
"https://www.city-data.com/city/Oregon.html","Dee","",""
"https://www.city-data.com/city/Oregon.html","Detroit, OR","",""
"https://www.city-data.com/city/Oregon.html","Diamond, OR","",""
"https://www.city-data.com/city/Oregon.html","Dillard, OR","",""
"https://www.city-data.com/city/Oregon.html","Donald, OR","",""
"https://www.city-data.com/city/Oregon.html","Drewsey","",""
