"url","Name","URLs","URLs_link"
"https://www.city-data.com/city/South-Carolina.html","Abbeville, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Aiken","Aiken","https://www.city-data.com/city/Aiken-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Alcolu","",""
"https://www.city-data.com/city/South-Carolina.html","Allendale, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Anderson, SC","Anderson, SC","https://www.city-data.com/city/Anderson-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Andrews, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Arcadia, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Arial","",""
"https://www.city-data.com/city/South-Carolina.html","Ashwood, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Awendaw","",""
"https://www.city-data.com/city/South-Carolina.html","Bamberg","",""
"https://www.city-data.com/city/South-Carolina.html","Barnwell","",""
"https://www.city-data.com/city/South-Carolina.html","Batesburg-Leesville","",""
"https://www.city-data.com/city/South-Carolina.html","Bear Swamp","Bear Swamp","https://www.city-data.com/city/Bear-Swamp-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Beaufort, SC","Beaufort, SC","https://www.city-data.com/city/Beaufort-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Beech Island","Beech Island","https://www.city-data.com/city/Beech-Island-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Belton, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Belvedere, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Bennettsville","Bennettsville","https://www.city-data.com/city/Bennettsville-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Berea, SC","Berea, SC","https://www.city-data.com/city/Berea-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Bishopville, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Blacksburg, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Blackville","",""
"https://www.city-data.com/city/South-Carolina.html","Bluffton, SC","Bluffton, SC","https://www.city-data.com/city/Bluffton-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Blythewood","",""
"https://www.city-data.com/city/South-Carolina.html","Boiling Springs, SC","Boiling Springs, SC","https://www.city-data.com/city/Boiling-Springs-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Bonneau Beach","",""
"https://www.city-data.com/city/South-Carolina.html","Boykin, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Branchville, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Brittons Neck","",""
"https://www.city-data.com/city/South-Carolina.html","Brookdale, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Brushy Creek, SC","Brushy Creek, SC","https://www.city-data.com/city/Brushy-Creek-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Buffalo, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Burnettown","",""
"https://www.city-data.com/city/South-Carolina.html","Burton, SC","Burton, SC","https://www.city-data.com/city/Burton-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Cades","",""
"https://www.city-data.com/city/South-Carolina.html","Calhoun Falls","",""
"https://www.city-data.com/city/South-Carolina.html","Camden, SC","Camden, SC","https://www.city-data.com/city/Camden-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Camp Ground, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Cane Savannah","",""
"https://www.city-data.com/city/South-Carolina.html","Catawba, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Cayce, SC","Cayce, SC","https://www.city-data.com/city/Cayce-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Centenary","",""
"https://www.city-data.com/city/South-Carolina.html","Centerville, SC","Centerville, SC","https://www.city-data.com/city/Centerville-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Central, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Chapin, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Chappells","",""
"https://www.city-data.com/city/South-Carolina.html","Charleston, SC","Charleston, SC","https://www.city-data.com/city/Charleston-South-Carolina.html"
"https://www.city-data.com/city/South-Carolina.html","Cheraw, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Cherryvale, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Chesterfield, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Chester, SC","",""
"https://www.city-data.com/city/South-Carolina.html","City View","",""
"https://www.city-data.com/city/South-Carolina.html","Clearwater, SC","",""
"https://www.city-data.com/city/South-Carolina.html","Clemson","Clemson","https://www.city-data.com/city/Clemson-South-Carolina.html"
