"url","Name","URLs","URLs_link"
"https://www.city-data.com/city/Texas.html","Abbott","",""
"https://www.city-data.com/city/Texas.html","Abilene, TX","Abilene, TX","https://www.city-data.com/city/Abilene-Texas.html"
"https://www.city-data.com/city/Texas.html","Abram-Perezville","Abram-Perezville","https://www.city-data.com/city/Abram-Perezville-Texas.html"
"https://www.city-data.com/city/Texas.html","Ackerly","",""
"https://www.city-data.com/city/Texas.html","Addison, TX","Addison, TX","https://www.city-data.com/city/Addison-Texas.html"
"https://www.city-data.com/city/Texas.html","Alamo Heights","Alamo Heights","https://www.city-data.com/city/Alamo-Heights-Texas.html"
"https://www.city-data.com/city/Texas.html","Alamo, TX","Alamo, TX","https://www.city-data.com/city/Alamo-Texas.html"
"https://www.city-data.com/city/Texas.html","Alba, TX","",""
"https://www.city-data.com/city/Texas.html","Aldine","Aldine","https://www.city-data.com/city/Aldine-Texas.html"
"https://www.city-data.com/city/Texas.html","Alfred-South La Paloma","",""
"https://www.city-data.com/city/Texas.html","Alice Acres","",""
"https://www.city-data.com/city/Texas.html","Alice, TX","Alice, TX","https://www.city-data.com/city/Alice-Texas.html"
"https://www.city-data.com/city/Texas.html","Allen, TX","Allen, TX","https://www.city-data.com/city/Allen-Texas.html"
"https://www.city-data.com/city/Texas.html","Alma, TX","",""
"https://www.city-data.com/city/Texas.html","Alto Bonito Heights","",""
"https://www.city-data.com/city/Texas.html","Alto Bonito","",""
"https://www.city-data.com/city/Texas.html","Alton North","Alton North","https://www.city-data.com/city/Alton-North-Texas.html"
"https://www.city-data.com/city/Texas.html","Alton, TX","Alton, TX","https://www.city-data.com/city/Alton-Texas.html"
"https://www.city-data.com/city/Texas.html","Alvin, TX","Alvin, TX","https://www.city-data.com/city/Alvin-Texas.html"
"https://www.city-data.com/city/Texas.html","Amargosa","",""
"https://www.city-data.com/city/Texas.html","Amarillo, TX","Amarillo, TX","https://www.city-data.com/city/Amarillo-Texas.html"
"https://www.city-data.com/city/Texas.html","Amherst, TX","",""
"https://www.city-data.com/city/Texas.html","Anderson Mill","Anderson Mill","https://www.city-data.com/city/Anderson-Mill-Texas.html"
"https://www.city-data.com/city/Texas.html","Anderson-Bedias","Anderson-Bedias","https://www.city-data.com/city/Anderson-Bedias-Texas.html"
"https://www.city-data.com/city/Texas.html","Anderson, TX","",""
"https://www.city-data.com/city/Texas.html","Andrews, TX","Andrews, TX","https://www.city-data.com/city/Andrews-Texas.html"
"https://www.city-data.com/city/Texas.html","Angleton-Rosharon","Angleton-Rosharon","https://www.city-data.com/city/Angleton-Rosharon-Texas.html"
"https://www.city-data.com/city/Texas.html","Angleton","Angleton","https://www.city-data.com/city/Angleton-Texas.html"
"https://www.city-data.com/city/Texas.html","Angus","",""
"https://www.city-data.com/city/Texas.html","Anna, TX","Anna, TX","https://www.city-data.com/city/Anna-Texas.html"
"https://www.city-data.com/city/Texas.html","Annetta North","",""
"https://www.city-data.com/city/Texas.html","Annetta South","",""
"https://www.city-data.com/city/Texas.html","Annona","",""
"https://www.city-data.com/city/Texas.html","Appleby","",""
"https://www.city-data.com/city/Texas.html","Aransas Pass","Aransas Pass","https://www.city-data.com/city/Aransas-Pass-Texas.html"
"https://www.city-data.com/city/Texas.html","Arlington, TX","Arlington, TX","https://www.city-data.com/city/Arlington-Texas.html"
"https://www.city-data.com/city/Texas.html","Arp","",""
"https://www.city-data.com/city/Texas.html","Arroyo Alto","",""
"https://www.city-data.com/city/Texas.html","Arroyo Colorado Estates","",""
"https://www.city-data.com/city/Texas.html","Arroyo Gardens-La Tina Ranch","",""
"https://www.city-data.com/city/Texas.html","Arroyo Gardens","",""
"https://www.city-data.com/city/Texas.html","Aspermont","",""
"https://www.city-data.com/city/Texas.html","Atascocita","Atascocita","https://www.city-data.com/city/Atascocita-Texas.html"
"https://www.city-data.com/city/Texas.html","Athens, TX","Athens, TX","https://www.city-data.com/city/Athens-Texas.html"
"https://www.city-data.com/city/Texas.html","Austin, TX","Austin, TX","https://www.city-data.com/city/Austin-Texas.html"
"https://www.city-data.com/city/Texas.html","Austwell-Tivoli","",""
"https://www.city-data.com/city/Texas.html","Avery, TX","",""
"https://www.city-data.com/city/Texas.html","Avinger","",""
"https://www.city-data.com/city/Texas.html","Azle","Azle","https://www.city-data.com/city/Azle-Texas.html"
"https://www.city-data.com/city/Texas.html","B and E","",""
"https://www.city-data.com/city/Texas.html","Bacliff","Bacliff","https://www.city-data.com/city/Bacliff-Texas.html"
"https://www.city-data.com/city/Texas.html","Bailey's Prairie","",""
"https://www.city-data.com/city/Texas.html","Bailey, TX","",""
"https://www.city-data.com/city/Texas.html","Balch Springs","Balch Springs","https://www.city-data.com/city/Balch-Springs-Texas.html"
"https://www.city-data.com/city/Texas.html","Balmorhea","",""
"https://www.city-data.com/city/Texas.html","Bandera","",""
"https://www.city-data.com/city/Texas.html","Banquete","",""
"https://www.city-data.com/city/Texas.html","Bardwell, TX","",""
"https://www.city-data.com/city/Texas.html","Barry, TX","",""
"https://www.city-data.com/city/Texas.html","Barstow, TX","",""
"https://www.city-data.com/city/Texas.html","Bastrop, TX","Bastrop, TX","https://www.city-data.com/city/Bastrop-Texas.html"
"https://www.city-data.com/city/Texas.html","Bay City, TX","Bay City, TX","https://www.city-data.com/city/Bay-City-Texas.html"
"https://www.city-data.com/city/Texas.html","Bayside, TX","",""
"https://www.city-data.com/city/Texas.html","Baytown","Baytown","https://www.city-data.com/city/Baytown-Texas.html"
"https://www.city-data.com/city/Texas.html","Bayview, TX","",""
"https://www.city-data.com/city/Texas.html","Bear Creek, TX","",""
