"url","URLs","URLs_link"
"https://www.city-data.com/city/Vermont.html","Barre, VT","https://www.city-data.com/city/Barre-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Bennington, VT","https://www.city-data.com/city/Bennington-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Brattleboro","https://www.city-data.com/city/Brattleboro-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Burlington, VT","https://www.city-data.com/city/Burlington-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Colchester, VT","https://www.city-data.com/city/Colchester-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Essex Junction","https://www.city-data.com/city/Essex-Junction-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Essex, VT","https://www.city-data.com/city/Essex-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Hartford, VT","https://www.city-data.com/city/Hartford-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Middlebury, VT","https://www.city-data.com/city/Middlebury-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Montpelier, VT","https://www.city-data.com/city/Montpelier-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Rutland, VT","https://www.city-data.com/city/Rutland-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Shelburne, VT","https://www.city-data.com/city/Shelburne-Vermont.html"
"https://www.city-data.com/city/Vermont.html","South Burlington","https://www.city-data.com/city/South-Burlington-Vermont.html"
"https://www.city-data.com/city/Vermont.html","St. Albans, VT","https://www.city-data.com/city/St.-Albans-Vermont.html"
"https://www.city-data.com/city/Vermont.html","St. Johnsbury","https://www.city-data.com/city/St.-Johnsbury-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Williston, VT","https://www.city-data.com/city/Williston-Vermont.html"
"https://www.city-data.com/city/Vermont.html","Winooski","https://www.city-data.com/city/Winooski-Vermont.html"
