"url","Name","URLs","URLs_link"
"https://www.city-data.com/city/Virginia.html","Abingdon, VA","Abingdon, VA","https://www.city-data.com/city/Abingdon-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Adwolf","",""
"https://www.city-data.com/city/Virginia.html","Alexandria, VA","Alexandria, VA","https://www.city-data.com/city/Alexandria-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Altavista","",""
"https://www.city-data.com/city/Virginia.html","Amelia Court House","",""
"https://www.city-data.com/city/Virginia.html","Amherst, VA","",""
"https://www.city-data.com/city/Virginia.html","Annandale, VA","Annandale, VA","https://www.city-data.com/city/Annandale-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Appalachia","",""
"https://www.city-data.com/city/Virginia.html","Apple Mountain Lake","",""
"https://www.city-data.com/city/Virginia.html","Appomattox","",""
"https://www.city-data.com/city/Virginia.html","Aquia Harbour","Aquia Harbour","https://www.city-data.com/city/Aquia-Harbour-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Arlington, VA","Arlington, VA","https://www.city-data.com/city/Arlington-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Ashburn, VA","Ashburn, VA","https://www.city-data.com/city/Ashburn-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Ashland, VA","Ashland, VA","https://www.city-data.com/city/Ashland-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Atkins, VA","",""
"https://www.city-data.com/city/Virginia.html","Bailey's Crossroads","Bailey's Crossroads","https://www.city-data.com/city/Bailey-s-Crossroads-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Bassett, VA","",""
"https://www.city-data.com/city/Virginia.html","Basye-Bryce Mountain","",""
"https://www.city-data.com/city/Virginia.html","Basye","",""
"https://www.city-data.com/city/Virginia.html","Bealeton","",""
"https://www.city-data.com/city/Virginia.html","Bedford, VA","Bedford, VA","https://www.city-data.com/city/Bedford-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Bellwood, VA","Bellwood, VA","https://www.city-data.com/city/Bellwood-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Belmont Estates","",""
"https://www.city-data.com/city/Virginia.html","Belmont, VA","",""
"https://www.city-data.com/city/Virginia.html","Bensley","",""
"https://www.city-data.com/city/Virginia.html","Berryville, VA","",""
"https://www.city-data.com/city/Virginia.html","Bethel Manor","",""
"https://www.city-data.com/city/Virginia.html","Big Stone Gap","",""
"https://www.city-data.com/city/Virginia.html","Blacksburg, VA","Blacksburg, VA","https://www.city-data.com/city/Blacksburg-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Blackstone, VA","",""
"https://www.city-data.com/city/Virginia.html","Blue Ridge, VA","",""
"https://www.city-data.com/city/Virginia.html","Bluefield, VA","",""
"https://www.city-data.com/city/Virginia.html","Bon Air, VA","Bon Air, VA","https://www.city-data.com/city/Bon-Air-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Boston, VA","",""
"https://www.city-data.com/city/Virginia.html","Boswell's Corner","",""
"https://www.city-data.com/city/Virginia.html","Bowling Green, VA","",""
"https://www.city-data.com/city/Virginia.html","Bracey","",""
"https://www.city-data.com/city/Virginia.html","Brambleton","Brambleton","https://www.city-data.com/city/Brambleton-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Brandermill","Brandermill","https://www.city-data.com/city/Brandermill-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Bridgewater, VA","",""
"https://www.city-data.com/city/Virginia.html","Brightwood","",""
"https://www.city-data.com/city/Virginia.html","Bristol, VA","Bristol, VA","https://www.city-data.com/city/Bristol-Virginia.html"
"https://www.city-data.com/city/Virginia.html","Broadlands, VA","Broadlands, VA","https://www.city-data.com/city/Broadlands-Virginia.html"
