,Unnamed: 0,city,link
2001,2001,East Longmeadow,https://www.city-data.com/city/East-Longmeadow-Massachusetts.html
2002,2002,Easthampton Tow,https://www.city-data.com/city/Easthampton-Town-Massachusetts.html
2003,2003,Easthampto,https://www.city-data.com/city/Easthampton-Massachusetts.html
2004,2004,"Easton, MA",https://www.city-data.com/city/Easton-Massachusetts.html
2005,2005,"Everett, MA",https://www.city-data.com/city/Everett-Massachusetts.html
2006,2006,"Fairhaven, MA",https://www.city-data.com/city/Fairhaven-Massachusetts.html
2007,2007,"Fall River, MA",https://www.city-data.com/city/Fall-River-Massachusetts.html
2008,2008,"Fitchburg, MA",https://www.city-data.com/city/Fitchburg-Massachusetts.html
2009,2009,Framingham,https://www.city-data.com/city/Framingham-Massachusetts.html
2010,2010,Franklin Tow,https://www.city-data.com/city/Franklin-Town-Massachusetts.html
2011,2011,"Franklin, MA",https://www.city-data.com/city/Franklin-Massachusetts.html
2012,2012,"Freetown, MA",https://www.city-data.com/city/Freetown-Massachusetts.html
2013,2013,"Gardner, MA",https://www.city-data.com/city/Gardner-Massachusetts.html
2014,2014,"Georgetown, MA",https://www.city-data.com/city/Georgetown-Massachusetts.html
2015,2015,"Gloucester, MA",https://www.city-data.com/city/Gloucester-Massachusetts.html
2016,2016,"Grafton, MA",https://www.city-data.com/city/Grafton-Massachusetts.html
2017,2017,Greenfield Tow,https://www.city-data.com/city/Greenfield-Town-Massachusetts.html
2018,2018,"Greenfield, MA",https://www.city-data.com/city/Greenfield-Massachusetts.html
2019,2019,"Groveland, MA",https://www.city-data.com/city/Groveland-Massachusetts.html
2020,2020,"Halifax, MA",https://www.city-data.com/city/Halifax-Massachusetts.html
2021,2021,"Hamilton, MA",https://www.city-data.com/city/Hamilton-Massachusetts.html
2022,2022,"Hanover, MA",https://www.city-data.com/city/Hanover-Massachusetts.html
2023,2023,"Harvard, MA",https://www.city-data.com/city/Harvard-Massachusetts.html
2024,2024,Harwich,https://www.city-data.com/city/Harwich-Massachusetts.html
2025,2025,"Haverhill, MA",https://www.city-data.com/city/Haverhill-Massachusetts.html
2026,2026,"Holbrook, MA",https://www.city-data.com/city/Holbrook-Massachusetts.html
2027,2027,"Holden, MA",https://www.city-data.com/city/Holden-Massachusetts.html
2028,2028,Hollisto,https://www.city-data.com/city/Holliston-Massachusetts.html
2029,2029,"Holyoke, MA",https://www.city-data.com/city/Holyoke-Massachusetts.html
2030,2030,"Hudson, MA",https://www.city-data.com/city/Hudson-Massachusetts.html
2031,2031,"Hull, MA",https://www.city-data.com/city/Hull-Massachusetts.html
2032,2032,"Lakeville, MA",https://www.city-data.com/city/Lakeville-Massachusetts.html
2033,2033,"Lancaster, MA",https://www.city-data.com/city/Lancaster-Massachusetts.html
2034,2034,"Lawrence, MA",https://www.city-data.com/city/Lawrence-Massachusetts.html
2035,2035,"Leicester, MA",https://www.city-data.com/city/Leicester-Massachusetts.html
2036,2036,Leominster,https://www.city-data.com/city/Leominster-Massachusetts.html
2037,2037,"Lexington, MA",https://www.city-data.com/city/Lexington-Massachusetts.html
